pack_name,piece_count_1,piece_count_2,difficulty_rating_1,difficulty_rating_2,brand_1,brand_2,num_puzzles,pieces_d1,pieces_d2,pieces_d3,pieces_d4,piece_count_pack,difficulty_rating_pack,w_pieces_diff_transformed,holdtime
Nautilus Puzzles NASA and JPL Visions Of The Future ,407,0,2,2,Nautilus,unknown,1,0,407,0,0,407,2,-0.6273772864370792,2.9092452298388656
Artifact Puzzles Some Enchanted Evening Artifact Puzzles Randal Spangler Fireside Fairytales,422,364,3,2,Artifact,Artifact,2,0,364,422,0,786,2,0.9691074697584203,4.680240553435857
Nautilus Puzzles Vintage Tour De France ,407,0,2,2,Nautilus,unknown,1,0,407,0,0,407,2,-0.6273772864370792,17.527838657161563
Artifact Puzzles Randal Spangler Computer Catastrophes Artifact Puzzles Bruce Riley Stem Cell,182,191,1,3,Artifact,Artifact,2,182,0,191,0,373,2,-0.7421613516695744,4.981465559835093
Artifact Puzzles Tomasz Pietrzyk Romeo and Juliet Artifact Puzzles Kevin Sloan Our Gentle Giant,424,326,3,3,Artifact,Artifact,2,0,0,750,0,750,3,1.2206804128160513,10.872661974829422
Ecru Puzzles Erin Hanson Cypress Lights Ecru Puzzles Richard Friend Limberlost,398,355,3,2,Ecru,Ecru,2,0,355,398,0,753,2,0.8754007433402455,5.801298641646296
Artifact Puzzles Daniel Merriam On The Go (Discontinued Limited Edition) Artifact Puzzles Kevin Sloan The Gift Arrives,295,344,1,1,Artifact,Artifact,2,639,0,0,0,639,1,-0.9871941312432425,14.10479767508522
Artifact Puzzles Angie Rees Boobie Trapped Artifact Puzzles Jonik Rapunzel,340,411,2,3,Artifact,Artifact,2,0,340,411,0,751,2,0.8849065660397133,6.952895060590254
Artifact Puzzles Bek Cruddace British Isles Map Artifact Puzzles Jim Flora Chioggia,493,359,1,1,Artifact,Artifact,2,852,0,0,0,852,1,-0.5564446301672126,10.729335012392882
Artifact Puzzles Angie Rees The Skating Party Artifact Puzzle Tom Kidd Dunne Estates,502,423,2,1,Artifact,Artifact,2,423,502,0,0,925,1,0.31998268360960846,15.089506009348655
Artifact Puzzles Tomasz Pietrzyk Tall Tower Artifact Puzzles Justin Hillgrove Imps And Monsters,629,442,1,1,Artifact,Artifact,2,1071,0,0,0,1071,1,-0.18510857755664048,14.00282682253125
Nautilus Puzzles The Baja Trail ,500,0,2,2,Nautilus,Nautilus,1,0,500,0,0,500,2,-0.2992575406712612,20.17947849102898
Ecru Roch Urbaniak Bosfor Artifact Puzzles Seurat Eiffel Tower,214,135,3,1,Artifact,Ecru,2,135,0,214,0,349,2,-0.6986633993030738,13.873004196263553
Artifact Puzzles Jonik Rapunzel Artifact Puzzles Jonik Troll Toll,411,365,1,1,Artifact,Artifact,2,776,0,0,0,776,1,-0.7006221004247918,25.5782964933966
Liberty Puzzles Whimsical Map of San Diego ,537,0,2,2,Liberty,unknown,1,0,537,0,0,537,2,-0.180401351964891,25.5888539844089
Artifact Puzzles Jonik Rapunzel Artifact Puzzles William Gropper Folklore Map,411,348,2,2,Artifact,Artifact,2,0,759,0,0,759,2,0.4348574575250299,51.85655493211998
Wentworth Puzzles Gustave Klimt Adele Bloch Bauer Wentworth Puzzles The Illuminated Manuscript,609,199,2,2,Wentworth,Wentworth,2,0,808,0,0,808,2,0.5533958107681397,52.858243094628925
Artifact Puzzles Daniel Merriam Man In The Moon Ecru Puzzles Nicole Gustafson The Bookkeeper,357,372,2,2,Artifact,Ecru,2,0,729,0,0,729,2,0.3596665515742241,3.0588198714787618
DaVici Puzzles Sergey Adeev On Land and Sea DaVici Puzzles Masha Molodykh Offstage,332,164,1,1,DaVici,DaVici,2,496,0,0,0,496,1,-1.3356646392590372,4.080146903551019
Liberty Puzzles World Map ,1017,0,3,3,Liberty,Liberty,1,0,0,1017,0,1017,3,1.8988721265882265,12.680248382705129
Nautilus Puzzles  Prague Clock ,500,0,2,2,Nautilus,Nautilus,1,0,500,0,0,500,2,-0.2992575406712612,5.082726619854502
Artifact Puzzles Tyson Grumm The Sleepover Artifact Puzzles Paul Bond The Yogi,405,310,1,1,Artifact,Artifact,2,715,0,0,0,715,1,-0.8235329233237091,22.800205752569525
Artifact Puzzles Hopwood-Wade Emu Afternoon Tea Artifact Puzzles Justin Hillgrove Word Travels South,346,456,1,1,Artifact,Artifact,2,802,0,0,0,802,1,-0.6502487222450095,58.32787488204432
Artifact Puzzles Tyukanov Uprising of the Sausages Artifact Puzzles Karla Gerard Lively Landscape,360,221,3,1,Artifact,Artifact,2,221,0,360,0,581,2,0.15230244444040428,58.28646791948051
Nautilus Puzzles Once Upon a Fairytale ,428,0,1,2,Nautilus,Nautilus,1,428,0,0,0,428,1,-1.5261230330714146,59.50127789710501
DaVici Puzzles Russian Tryptych ,1000,0,3,2,DaVici,DaVici,1,0,0,1000,0,1000,3,1.8596170998998247,4.985608511460011
Artifact Puzzles Gavin Watson Creature Comforts Artifact Puzzles Kevin Sloan Fragile Habitat,322,360,1,1,Artifact,Artifact,2,682,0,0,0,682,1,-0.893051921043918,2.0985068362142822
Wentworth Puzzles Miguel Freitas This is London ,1000,0,1,2,Wentworth,Wentworth,1,1000,0,0,0,1000,1,-0.2992575406712612,11.38902160768898
Nautilus Puzzles Pip Shuckburgh Dance of the Elephants Nautilus Puzzles Alphonse Mucha Spring,499,122,2,2,Nautilus,Nautilus,2,0,621,0,0,621,2,0.0699313556114323,12.259190544253135
Davici Puzzles When a Star was Born Davici Puzzles Last Summer Day,130,190,1,2,DaVici,DaVici,2,130,190,0,0,320,1,-1.2987141309390098,15.484396661074236
"Liberty Puzzles Brad Gorman Denver Cityscape Liberty Puzzles Herbert Hofer Rome, Italy",469,478,1,1,Liberty,Liberty,2,947,0,0,0,947,1,-0.3881507113020148,20.24099569572905
Unidragon Puzzles Fairy Bird Unidragon Puzzles Guarding Dragon,325,170,2,2,unknown,unknown,2,0,495,0,0,495,2,-0.3157778033900763,7.211038881743357
DaVici Puzzles Millenium Tree ,1098,0,3,2,DaVici,DaVici,1,0,0,1098,0,1098,3,2.0799635109936836,56.46668449869826
Wentworth Puzzles Rebecca McCulloch Harbour Houses ,1000,0,1,2,Wentworth,Wentworth,1,1000,0,0,0,1000,1,-0.2992575406712612,67.22394636633754
"Davici Puzzles The Sailor Cat Davici Puzzles Elementary, My Dear Watson!",135,150,1,1,DaVici,DaVici,2,285,0,0,0,285,1,-2.0079814759753853,5.393230239140035
Liberty Puzzles Phil Lewis Sunshine Daydream ,902,0,3,2,Liberty,Liberty,1,0,0,902,0,902,3,1.6238957213978147,24.09956415390442
Davici Puzzles Dear Lady Winter Davici Puzzles Russian Circus,180,330,1,1,DaVici,DaVici,2,510,0,0,0,510,1,-1.2987141309390098,23.06658338849204
DaVici Puzzles Anton Gorcevic I Had A Dream Once DaVici Puzzles Sergey Adeev Day and Night,350,280,1,1,DaVici,DaVici,2,630,0,0,0,630,1,-1.007445388808925,15.496194312652651
Artifact Puzzles Vikram Madan North Star Artifact Puzzles Barnard Dragon Mountain,480,277,2,2,Artifact,Artifact,2,0,757,0,0,757,2,0.4299088868181088,15.45361009466426
Liberty Puzzles Maurice Prendergast The Grand Canal Ecru Puzzles Aaron Wolf The Kingdom,498,214,3,2,Ecru,Liberty,2,0,214,498,0,712,2,0.8943817243739924,65.9635429732889
Liberty Puzzles Rebecca Cambell The Menagerie ,642,0,3,2,Liberty,Liberty,1,0,0,642,0,642,3,0.8985831263296711,67.94477693254295
Snowflake Puzzle Collage of 8 Classic National Parks Travel Posters Wongo Puzzles The Turtle,500,207,1,1,Other-Hand-cut,Other-Hand-cut,2,707,0,0,0,707,1,-0.8401802701212673,27.361030356175466
Artifact Puzzles Tom Kidd Dunne Estates Artifact Puzzles Old Venice Map,423,91,2,1,Artifact,Artifact,2,91,423,0,0,514,1,-0.40530384171258954,32.42241135030803
Wentworth Puzzles Clair Rossiter Spring Market ,1000,0,1,2,Wentworth,Wentworth,1,1000,0,0,0,1000,1,-0.2992575406712612,60.34271115052306
Liberty Puzzles Linnea Pergola Machu Picchu ,670,0,2,2,Liberty,Liberty,1,0,670,0,0,670,2,0.20535206193735908,10.12597966740868
"Nautilus Puzzles Mother Earth Nautilus Puzzles Antelope Canyon, Arizona",222,181,1,1,Nautilus,Nautilus,2,403,0,0,0,403,1,-1.6013706070717426,3.1521261602771298
Liberty Puzzles Linnea Pergola The Girl and the Sea Liberty Puzzles Phil Lewis Flatirons,489,433,3,3,Liberty,Liberty,2,0,0,922,0,922,3,1.6733814130547728,11.289441297400831
Artifact Puzzles Bruce Riley Stem Cell Artifact Puzzles APAK Islands Of Life,191,165,1,1,Artifact,Artifact,2,356,0,0,0,356,1,-1.752006164168165,7.825819897202951
