memberID,holdtime,puzzlepack,pack_name,piece_count_1,piece_count_2,difficulty_rating_1,difficulty_rating_2,brand_1,brand_2,num_puzzles
member3,14.10479767508522,Artifact Puzzles Daniel Merriam On The Go (Discontinued Limited Edition) Artifact Puzzles Kevin Sloan The Gift Arrives,Artifact Puzzles Daniel Merriam On The Go (Discontinued Limited Edition) Artifact Puzzles Kevin Sloan The Gift Arrives,295,344,1,1,Artifact,Artifact,2
member3,6.952895060590254,Artifact Puzzles Angie Rees Boobie Trapped Artifact Puzzles Jonik Rapunzel,Artifact Puzzles Angie Rees Boobie Trapped Artifact Puzzles Jonik Rapunzel,340,411,2,3,Artifact,Artifact,2
member3,10.729335012392882,Artifact Puzzles Bek Cruddace British Isles Map Artifact Puzzles Jim Flora Chioggia,Artifact Puzzles Bek Cruddace British Isles Map Artifact Puzzles Jim Flora Chioggia,493,359,1,1,Artifact,Artifact,2
member3,15.089506009348655,Artifact Puzzles Angie Rees The Skating Party Artifact Puzzle Tom Kidd Dunne Estates,Artifact Puzzles Angie Rees The Skating Party Artifact Puzzle Tom Kidd Dunne Estates,502,423,2,1,Artifact,Artifact,2
member3,14.00282682253125,Artifact Puzzles Tomasz Pietrzyk Tall Tower Artifact Puzzles Justin Hillgrove Imps And Monsters,Artifact Puzzles Tomasz Pietrzyk Tall Tower Artifact Puzzles Justin Hillgrove Imps And Monsters,629,442,1,1,Artifact,Artifact,2
member3,20.17947849102898,Nautilus Puzzles The Baja Trail ,Nautilus Puzzles The Baja Trail ,500,0,2,2,Nautilus,Nautilus,1
member3,13.873004196263553,Ecru Roch Urbaniak Bosfor Artifact Puzzles Seurat Eiffel Tower,Ecru Roch Urbaniak Bosfor Artifact Puzzles Seurat Eiffel Tower,214,135,3,1,Artifact,Ecru,2
member3,25.5782964933966,Artifact Puzzles Jonik Rapunzel Artifact Puzzles Jonik Troll Toll,Artifact Puzzles Jonik Rapunzel Artifact Puzzles Jonik Troll Toll,411,365,1,1,Artifact,Artifact,2
member3,25.5888539844089,Liberty Puzzles Whimsical Map of San Diego ,Liberty Puzzles Whimsical Map of San Diego ,537,0,2,2,Liberty,unknown,1
member3,51.85655493211998,Artifact Puzzles Jonik Rapunzel Artifact Puzzles William Gropper Folklore Map,Artifact Puzzles Jonik Rapunzel Artifact Puzzles William Gropper Folklore Map,411,348,2,2,Artifact,Artifact,2
member3,52.858243094628925,Wentworth Puzzles Gustave Klimt Adele Bloch Bauer Wentworth Puzzles The Illuminated Manuscript,Wentworth Puzzles Gustave Klimt Adele Bloch Bauer Wentworth Puzzles The Illuminated Manuscript,609,199,2,2,Wentworth,Wentworth,2
member3,3.0588198714787618,Artifact Puzzles Daniel Merriam Man In The Moon Ecru Puzzles Nicole Gustafson The Bookkeeper,Artifact Puzzles Daniel Merriam Man In The Moon Ecru Puzzles Nicole Gustafson The Bookkeeper,357,372,2,2,Artifact,Ecru,2
member3,4.080146903551019,DaVici Puzzles Sergey Adeev On Land and Sea DaVici Puzzles Masha Molodykh Offstage,DaVici Puzzles Sergey Adeev On Land and Sea DaVici Puzzles Masha Molodykh Offstage,332,164,1,1,DaVici,DaVici,2
member3,12.680248382705129,Liberty Puzzles World Map ,Liberty Puzzles World Map ,1017,0,3,3,Liberty,Liberty,1
member3,5.082726619854502,Nautilus Puzzles  Prague Clock ,Nautilus Puzzles  Prague Clock ,500,0,2,2,Nautilus,Nautilus,1
member3,22.800205752569525,Artifact Puzzles Tyson Grumm The Sleepover Artifact Puzzles Paul Bond The Yogi,Artifact Puzzles Tyson Grumm The Sleepover Artifact Puzzles Paul Bond The Yogi,405,310,1,1,Artifact,Artifact,2
member3,58.32787488204432,Artifact Puzzles Hopwood-Wade Emu Afternoon Tea Artifact Puzzles Justin Hillgrove Word Travels South,Artifact Puzzles Hopwood-Wade Emu Afternoon Tea Artifact Puzzles Justin Hillgrove Word Travels South,346,456,1,1,Artifact,Artifact,2
member3,58.28646791948051,Artifact Puzzles Tyukanov Uprising of the Sausages Artifact Puzzles Karla Gerard Lively Landscape,Artifact Puzzles Tyukanov Uprising of the Sausages Artifact Puzzles Karla Gerard Lively Landscape,360,221,3,1,Artifact,Artifact,2
member3,59.50127789710501,Nautilus Puzzles Once Upon a Fairytale ,Nautilus Puzzles Once Upon a Fairytale ,428,0,1,2,Nautilus,Nautilus,1
member3,4.985608511460011,DaVici Puzzles Russian Tryptych ,DaVici Puzzles Russian Tryptych ,1000,0,3,2,DaVici,DaVici,1
member3,2.0985068362142822,Artifact Puzzles Gavin Watson Creature Comforts Artifact Puzzles Kevin Sloan Fragile Habitat,Artifact Puzzles Gavin Watson Creature Comforts Artifact Puzzles Kevin Sloan Fragile Habitat,322,360,1,1,Artifact,Artifact,2
member3,11.38902160768898,Wentworth Puzzles Miguel Freitas This is London ,Wentworth Puzzles Miguel Freitas This is London ,1000,0,1,2,Wentworth,Wentworth,1
member3,12.259190544253135,Nautilus Puzzles Pip Shuckburgh Dance of the Elephants Nautilus Puzzles Alphonse Mucha Spring,Nautilus Puzzles Pip Shuckburgh Dance of the Elephants Nautilus Puzzles Alphonse Mucha Spring,499,122,2,2,Nautilus,Nautilus,2
