name,pieces_d1,pieces_d2,pieces_d3,pieces_d4,num_puzzles
Artifact Puzzles Jonik Rapunzel Artifact Puzzles Jonik Troll Toll,776,0,0,0,2
Artifact Puzzles Tyson Grumm The Sleepover Artifact Puzzles Paul Bond The Yogi,715,0,0,0,2
Artifact Puzzles Karla Gerard Farmland Ecru Puzzles Van Gogh Almond Blossoms,154,0,0,210,2
Artifact Puzzles APAK Celebrating Nature Artifact Puzzles Angie Rees Precious Cargo,0,399,412,0,2
Artifact Puzzles Van Gogh Boats Artifact Puzzles Rekunenko Charming Village,282,0,325,0,2
Artifact Puzzles Great Robot Migration ,0,0,480,0,1
Artifact Puzzles Joe Vaux Season Of The Rabbit Artifact Puzzles Justin Hillgrove Mad Tea Party,506,0,0,0,2
Artifact Puzzles Seurat Grande Jatte Artifact Puzzles Klimt The Kiss ,0,338,428,0,2
DaVici Josephine Wall Winter Dreaming ,400,0,0,0,1
"Wentworth Puzzles Zebo Ludvicek Birdcages Wentworth Puzzles Hyde Street View, San Francisco",0,750,0,0,2
Artifact Puzzles Tyson Grumm Slacking Pandas Artifact Puzzles Utagawa Kuniyoshi Cats,224,0,258,0,2
Artifact Puzzles Joe Vaux Garden Of Earthly Delights ,0,619,0,0,1
Artifact Puzzles Paul Bond Ode To A Zen Koan Artifact Puzzles John Henry Dearle Forest Tapestry,0,267,0,577,2
DaVici Puzzles Red Shrimp DaVici Puzzles Inhabited Fish,295,0,0,0,2
Artifact Puzzles Justin Hillgrove Overwhelming Odds Artifact Puzzles Angie Rees Boobie Trapped,597,0,0,0,2
Artifact Puzzles Gavin Watson Creature Comforts Artifact Puzzles Kevin Sloan Fragile Habitat,682,0,0,0,2
DaVici Puzzles Russian Tryptych ,0,0,1000,0,1
Stave Puzzles Candy Thun Tropical Punch Whimsy Puzzles Lighthouse By The Sea,100,70,0,0,2
Artifact Puzzles Kathryn Freeman Lullaby For Lions Artifact Puzzles Jill Bennet Fantastic Mr. Fox,630,0,0,0,2
Artifact Puzzles Vikram Madan Robot Creation Myth Artifact Puzzles Vikram Madan Physical Impossibility,292,382,0,0,2
Artifact Puzzles Yuri Gorbachev Two Cats Artifact Puzzles Vladstudio Owl Internet Cafe,314,204,0,0,2
DaVici Red Book ,0,0,700,0,1
Artifact Puzzles Joe Vaux Grass Is Greener Artifact Puzzles Justin Hillgrove Mad Tea Party,360,0,0,0,2
Ecru Puzzles Mystery Puzzle #18 Ecru Puzzles Scott Gustafson Belling The Cat,0,262,364,0,2
Ecru Puzzles Ton Dubbeldam Provence Revisited Ecru Puzzles Mystery Puzzle #17,280,293,0,0,2
Ecru Puzzles Mystery Puzzle #21 Artifact Puzzles Allen Douglas The Kraken,0,181,219,0,2
Wentworth Puzzles Maureen Rupprecht Pencil Collage Wentworth Puzzles Fractal Geometry Olga Salt,0,0,280,229,2
Artifact Puzzles Randal Spangler Technology Meltdown Artifact Puzzles Little Seamaid,241,0,0,0,2
Liberty Puzzles Phil Lewis Sugar Magnolia ,0,0,881,0,1
Artifact Puzzles - William Glackens Cape Cod Pier Artifact Puzzles Julius LeBlanc Stewart Yachting,0,458,0,0,2
Wentworth Puzzles Rebecca McCulloch Harbour Houses ,1000,0,0,0,1
Artifact Puzzles Iwona Lifsches Poohsticks Artifact Puzzles Deccan Miniature,261,150,0,0,2
Artifact Puzzles Gore Icknield Way Artifact Puzzles Kevin Sloan The Gift Arrives,344,317,0,0,2
Artifact Puzzles Kristian Adam Jacuzzi Boyz Ecru Puzzles Kristian Adam Pizza Boyz,670,0,0,0,2
Artifact Puzzles Randal Spangler Some Enchanted Evening Artifact Puzzles Justin Hillgrove Imps And Monsters,442,0,422,0,2
Nautilus Puzzles Zodiac Rainbow ,0,500,0,0,1
Artifact Puzzles Allie Sullberg Lets Dance Artifact Puzzles Kevin Sloan Welcome to the Wilderness,0,785,0,0,2
Artifact Puzzles Gavin Watson Creature Comforts Artifact Puzzles Kevin Sloan Fragile Habitat,682,0,0,0,2
Artifact Puzzles Daniel Merriam Man In The Moon Ecru Puzzles Nicole Gustafson The Bookkeeper,0,729,0,0,2
Artifact Puzzles Angie Rees The Carrot Artifact Puzzles Kozyndan Bunny Blossoms,304,380,0,0,2
Wentworth Puzzles Nanook of the North Wentworth Puzzles Penguin Huddle,500,0,0,0,2
Artifact Puzzles Gore Icknield Way Artifact Puzzles Charles Courney Curran Lotus Lilies,0,317,329,0,2
Artifact Puzzles Roch Urbaniak Unexpected Visitor Artifact Puzzles Lucas Cranach the Elder Hunting at Hartenfels Castle,349,303,0,0,2
Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,0,707,0,0,2
Artifact Puzzles Jonik Troll Toll Artifact Puzzles Angie Rees Happy Harbor,365,281,0,0,2
Artifact Puzzles Kathryn Freeman The Sunday Paper Artifact Puzzles Sandi Rigby Tree of Wisdom Wooden,245,0,0,0,2
Artifact Puzzles Tyukanov Flying Bottle Artifact Puzzles Tom Kidd Dunne Estates,423,300,0,0,2
Liberty Puzzles Frenchy All On A Mardi Gras Day Liberty Puzzles Daria Hlazatova Leopard,0,0,1018,0,2
Artifact Puzzles Dennis Brady Circles and Squares Artifact Puzzles Diego Mazzeo Mechanical Griffin,65,207,0,0,2
Artifact Puzzles - William Glackens Cape Cod Pier Artifact Puzzles Julius LeBlanc Stewart Yachting,0,458,0,0,2
Artifact Puzzles Isabelle Plante La Connaissance Artifact Puzzles Justin Hillgrove Word Travels West,0,927,0,0,2
DaVici Puzzles Diana Zimens City Of Cats ,0,700,0,0,1
DaVici Puzzles Friendship Day DaVici Puzzles Alexander Uglanov Awakening,496,0,0,0,2
Artifact Puzzles Seurat Grande Jatte Artifact Puzzles Joe Vaux Fishing Village,254,428,0,0,2
Artifact Puzzles Edward Hopper Chop Suey Artifact Puzzles Edward Hopper Nighthawks ,720,0,0,0,2
"Nikolyaaa Red Boats Wheelgiant Balancing Boulder, Northern Territory, Australia",0,674,0,0,2
Artifact Puzzles Karla Gerard By The Sea Ecru Puzzles Grant Haffner Sunset on Old Montauk Highway,638,0,0,0,2
Thom Spencer Wheel Of Changing Colors Nervous System Geode Puzzle,0,325,0,0,1
Artifact Puzzles Bek Cruddace British Isles Map Artifact Puzzles Jim Flora Chioggia,852,0,0,0,2
Wentworth Puzzles Royce McClure Sky Roads DaVici Puzzles Sergey Adeev Flying Frigate,630,0,0,0,2
Liberty Puzzles Linnea Pergola Metropolitain Liberty Puzzles Linnea Pergola Lugano,0,855,0,0,2
Artifact Puzzles Outsider Insider Artifact Puzzles Sophie Taeuber-Arp Composition,0,711,0,0,2
DaVici Puzzles Nadezhda Strelkina Peace On Earth ,0,695,0,0,1
Nautilus Puzzles Vintage Tour De France ,0,407,0,0,1
Ecru Puzzles Iris Scott The Discussion Ecru Puzzles Nico Klopp Martigues,0,197,302,0,2
Artifact Puzzles Barnard Dragon Mountain Artifact Puzzles Angie Rees Happy Harbor,558,0,0,0,2
DaVici Puzzles Sergey Adeev On Land and Sea DaVici Puzzles Masha Molodykh Offstage,496,0,0,0,2
Liberty Puzzles Jane Tattersfield Birds Liberty Puzzles Castle Neuschwanstein,0,509,641,0,2
Artifact Puzzles Edward Hopper Chop Suey Ecru Puzzles Nico Klopp Martigues,300,0,300,0,2
Unidragon Puzzles Eternal Elephant Unidragon Puzzles Serious Panda,0,495,0,0,2
Wentworth Puzzles Elena Kotliarker Hannukah in the Magic Garden Wentworth Puzzles Colin Thompson Bookshelf,500,0,250,0,2
Liberty Puzzles United Nations Tour of Jordan,439,0,0,0,2
Liberty Puzzles Whimsical Map of San Diego ,0,537,0,0,1
Stumpcraft Julien Deval Malediction ,0,0,472,0,1
